Dates Flux Xpos Ypos
2456768.962217216 6702.41 484.525 537.303
2456768.982648807 6691.654 484.629 537.24
2456769.003080397 6695.56 484.631 537.247
2456769.023511988 6705.43 484.629 537.258
2456769.043943578 6708.979 484.641 537.243
2456769.064375169 6710.858 484.649 537.259
2456769.084806759 6688.823 484.652 537.266
2456769.105238449 6708.528 484.669 537.274
2456769.12567004 6714.048 484.675 537.281
2456769.14610153 6716.992 484.696 537.285
2456769.16653322 6721.4 484.695 537.296
2456769.18696471 6714.976 484.705 537.292
2456769.207396301 6718.816 484.705 537.296
2456769.227827991 6721.51 484.711 537.3
2456769.248259481 6723.173 484.709 537.297
2456769.268691071 6720.859 484.712 537.298
2456769.289122761 6717.361 484.729 537.307
2456769.309554251 6724.479 484.73 537.308
2456769.329985841 6732.615 484.739 537.325
2456769.350417531 6720.149 484.764 537.317
2456769.370849021 6717.575 484.776 537.336
2456769.391280711 6702.99 484.771 537.332
2456769.4117123 6708.644 484.772 537.338
2456769.43214379 6721.297 484.768 537.328
2456769.47300707 6651.835 484.634 537.369
2456769.493438659 6716.588 484.773 537.423
2456769.513870249 6715.189 484.754 537.45
2456769.534301839 6699.954 484.748 537.45
2456769.554733428 6715.077 484.761 537.449
2456769.575165118 6704.749 484.755 537.461
2456769.595596607 6705.906 484.788 537.46
2456769.616028297 6708.713 484.782 537.469
2456769.636459887 6708.056 484.783 537.472
2456769.656891376 6715.438 484.777 537.469
2456769.677323065 6700.066 484.784 537.48
2456769.697754655 6708.79 484.793 537.465
2456769.718186144 6712.888 484.795 537.471
2456769.738617833 6710.243 484.804 537.461
2456769.759049423 6708.643 484.826 537.482
2456769.779480912 6719.774 484.813 537.485
2456769.799912601 6716.441 484.812 537.475
2456769.82034419 6715.2 484.812 537.492
2456769.84077568 6712.426 484.833 537.483
2456769.861207369 6705.375 484.832 537.492
2456769.881638858 6712.938 484.831 537.493
2456769.902070547 6719.343 484.836 537.498
2456769.922502136 6717.022 484.832 537.503
2456769.942933625 6710.125 484.857 537.493
2456769.963365314 6703.888 484.862 537.511
2456769.983796903 6707.381 484.868 537.513
2456770.004228492 6706.771 484.876 537.516
2456770.024660081 6704.738 484.873 537.525
2456770.04509167 6685.716 484.887 537.528
2456770.065523259 6694.221 484.901 537.524
2456770.085954848 6689.688 484.917 537.538
2456770.106386437 6674.38 484.914 537.55
2456770.126818025 6675.127 484.931 537.559
2456770.147249714 6684.726 484.959 537.553
2456770.167681203 6689.192 484.977 537.561
2456770.188112892 6670.576 484.974 537.575
2456770.208544481 6671.641 484.982 537.582
2456770.228975969 6677.006 484.986 537.583
2456770.249407658 6677.644 485.006 537.587
2456770.269839247 6673.534 485.017 537.603
2456770.290270735 6673.445 485.013 537.62
2456770.310702424 6667.91 485.043 537.613
2456770.331134012 6666.241 485.067 537.61
2456770.351565501 6675.064 485.069 537.632
2456770.37199719 6673.969 485.077 537.634
2456770.392428778 6653.583 485.083 537.644
2456770.412860367 6668.24 485.089 537.654
2456770.433291955 6658.175 484.564 537.318
2456770.453723543 6690.525 484.498 537.281
2456770.474155232 6705.781 484.508 537.3
2456770.494586721 6692.769 484.523 537.302
2456770.515018309 6690.322 484.622 537.234
2456770.535449897 6694.716 484.635 537.247
2456770.555881485 6691.215 484.639 537.257
2456770.576313074 6703.465 484.661 537.254
2456770.596744662 6709.025 484.655 537.266
2456770.617176251 6691.391 484.653 537.267
2456770.637607839 6693.818 484.659 537.264
2456770.658039527 6688.497 484.667 537.276
2456770.678471015 6704.195 484.686 537.283
2456770.698902604 6697.17 484.679 537.277
2456770.719334292 6702.515 484.677 537.278
2456770.73976578 6684.89 484.685 537.278
2456770.760197468 6697.726 484.685 537.288
2456770.780629057 6694.155 484.684 537.281
2456770.801060544 6699.694 484.689 537.281
2456770.821492233 6694.448 484.684 537.283
2456770.841923821 6686.784 484.668 537.276
2456770.862355309 6692.754 484.689 537.28
2456770.882786997 6687.952 484.678 537.276
2456770.903218585 6698.258 484.672 537.285
2456770.923650073 6686.271 484.673 537.274
2456770.944081761 6701.153 484.671 537.268
2456770.964513349 6679.931 484.67 537.272
2456770.984944937 6694.757 484.666 537.274
2456771.005376525 6658.824 484.669 537.276
2456771.025808113 6681.898 484.67 537.275
2456771.046239801 6683.714 484.685 537.286
2456771.066671289 6679.8 484.702 537.289
2456771.087102877 6660.773 484.728 537.308
2456771.107534565 6669.396 484.755 537.328
2456771.127966153 6671.019 484.773 537.333
2456771.148397641 6665.567 484.791 537.343
2456771.168829329 6656.22 484.787 537.343
2456771.189260917 6654.608 484.786 537.341
2456771.209692405 6655.318 484.784 537.339
2456771.230124092 6652.676 484.779 537.338
2456771.25055558 6649.091 484.769 537.336
2456771.270987168 6657.485 484.749 537.317
2456771.291418856 6655.153 484.735 537.314
2456771.311850344 6655.187 484.726 537.311
2456771.332282031 6649.504 484.718 537.301
2456771.352713619 6634.716 484.724 537.303
2456771.373145107 6651.81 484.716 537.305
2456771.393576795 6641.269 484.705 537.294
2456771.434439871 6609.844 484.452 537.227
2456771.454871558 6616.872 484.471 537.259
2456771.475303146 6608.648 484.475 537.259
2456771.495734734 6619.717 484.464 537.276
2456771.516166321 6607.691 484.473 537.281
2456771.536597909 6616.703 484.491 537.288
2456771.557029497 6601.725 484.511 537.283
2456771.577461084 6614.445 484.507 537.295
2456771.597892672 6606.511 484.489 537.292
2456771.61832436 6599.718 484.489 537.294
2456771.638755947 6591.616 484.477 537.263
2456771.659187435 6613.292 484.477 537.271
2456771.679619123 6593.1 484.49 537.251
2456771.700050711 6595.371 484.469 537.253
2456771.720482198 6594.646 484.443 537.26
2456771.740913886 6600.256 484.436 537.252
2456771.761345474 6585.314 484.434 537.264
2456771.781776961 6584.237 484.433 537.239
2456771.802208649 6576.767 484.44 537.24
2456771.822640236 6581.755 484.425 537.247
2456771.843071724 6583.588 484.426 537.24
2456771.863503412 6578.984 484.427 537.244
2456771.883934999 6570.492 484.421 537.241
2456771.904366587 6584.824 484.427 537.225
2456771.924798174 6573.07 484.405 537.231
2456771.945229762 6578.993 484.409 537.229
2456771.96566135 6570.432 484.397 537.232
2456771.986092937 6590.52 484.397 537.23
2456772.006524525 6569.508 484.392 537.209
2456772.026956113 6567.339 484.383 537.22
2456772.0473877 6568.547 484.37 537.211
2456772.067819288 6566.533 484.361 537.205
2456772.088250875 6569.028 484.354 537.2
2456772.108682463 6559.747 484.355 537.189
2456772.129114151 6555.845 484.341 537.181
2456772.149545638 6582.996 484.325 537.184
2456772.169977226 6563.853 484.305 537.173
2456772.190408913 6561.984 484.282 537.149
2456772.210840501 6571.821 484.264 537.143
2456772.231271989 6564.63 484.241 537.132
2456772.251703676 6578.195 484.243 537.129
2456772.272135264 6575.371 484.246 537.113
2456772.292566751 6574.737 484.233 537.113
2456772.312998439 6588.886 484.212 537.111
2456772.333430026 6594.947 484.193 537.085
2456772.353861514 6596.854 484.172 537.083
2456772.374293202 6614.325 484.162 537.052
2456772.394724789 6547.095 484.644 537.376
2456772.415156477 6593.245 484.769 537.331
2456772.435587964 6598.743 484.752 537.324
2456772.456019552 6591.868 484.73 537.311
2456772.47645124 6609.644 484.7 537.29
2456772.496882727 6619.961 484.69 537.284
2456772.517314315 6612.678 484.672 537.29
2456772.537746002 6605.811 484.681 537.267
2456772.55817749 6602.719 484.672 537.272
2456772.578609078 6607.275 484.656 537.269
2456772.599040765 6607.185 484.653 537.262
2456772.619472253 6591.279 484.634 537.24
2456772.639903841 6591.211 484.527 537.292
2456772.660335529 6594.792 484.503 537.291
2456772.680767016 6605.695 484.463 537.26
2456772.701198704 6611.602 484.431 537.246
2456772.721630292 6594.838 484.415 537.232
2456772.742061779 6597.08 484.405 537.241
2456772.762493467 6588.841 484.389 537.208
2456772.782925054 6597.833 484.355 537.206
2456772.803356542 6591.141 484.339 537.192
2456772.82378823 6597.202 484.311 537.161
2456772.844219817 6590.498 484.285 537.147
2456772.864651305 6605.224 484.235 537.125
2456772.885082993 6610.778 484.203 537.092
2456772.905514581 6633.363 484.182 537.086
2456772.925946068 6627.147 484.174 537.069
2456772.946377756 6654.217 484.143 537.052
2456772.966809344 6677.893 484.103 537.035
2456772.987241032 6675.614 484.095 537.017
2456773.007672519 6669.817 484.062 536.995
2456773.028104107 6687.152 484.018 536.975
2456773.048535795 6674.954 483.976 536.94
2456773.068967283 6685.932 483.956 536.934
2456773.089398871 6683.683 483.938 536.924
2456773.109830559 6684.36 483.908 536.901
2456773.130262146 6525.189 484.587 537.346
2456773.150693634 6625.041 484.763 537.318
2456773.171125322 6655.287 484.719 537.301
2456773.19155691 6628.762 484.663 537.264
2456773.211988498 6635.083 484.638 537.246
2456773.232420086 6627.021 484.506 537.293
2456773.252851673 6630.431 484.48 537.268
2456773.273283261 6635.706 484.444 537.251
2456773.293714849 6629.366 484.415 537.235
2456773.314146437 6623.601 484.381 537.217
2456773.334578025 6631.329 484.329 537.184
2456773.355009613 6629.17 484.282 537.152
2456773.395872789 6586.011 484.423 537.249
2456773.416304377 6626.584 484.506 537.309
2456773.436735865 6627.343 484.489 537.265
2456773.457167553 6645.888 484.475 537.264
2456773.477599142 6638.318 484.424 537.245
2456773.49803083 6626.87 484.403 537.234
2456773.518462318 6622.004 484.366 537.227
2456773.538893905 6623.553 484.367 537.207
2456773.559325594 6624.912 484.351 537.186
2456773.579757082 6629.608 484.333 537.179
2456773.60018867 6627.934 484.294 537.136
2456773.620620358 6533.029 484.585 537.336
2456773.641051946 6621.155 484.877 537.525
2456773.661483434 6636.267 484.853 537.504
2456773.681915123 6641.59 484.828 537.513
2456773.702346711 6645.652 484.825 537.478
2456773.722778199 6641.808 484.793 537.462
2456773.743209887 6649.983 484.751 537.446
2456773.763641476 6650.048 484.751 537.449
2456773.784073064 6642.57 484.819 537.4
2456773.804504653 6642.811 484.802 537.33
2456773.824936241 6648.45 484.766 537.327
2456773.845367929 6661.141 484.732 537.305
2456773.865799418 6651.498 484.694 537.286
2456773.886231006 6650.306 484.671 537.271
2456773.906662694 6663.512 484.67 537.25
2456773.927094183 6647.49 484.538 537.318
2456773.947525771 6649.289 484.524 537.294
2456773.96795746 6651.734 484.493 537.289
2456773.988388948 6649.139 484.433 537.254
2456774.008820637 6637.287 484.422 537.219
2456774.029252125 6652.075 484.397 537.214
2456774.049683714 6651.018 484.358 537.197
2456774.070115402 6642.951 484.309 537.174
2456774.090546891 6646.169 484.274 537.141
2456774.110978479 6503.229 484.911 537.531
2456774.131410168 6630.966 484.958 537.564
2456774.151841657 6623.664 484.922 537.55
2456774.172273246 6632.675 484.901 537.535
2456774.192704934 6643.239 484.878 537.506
2456774.213136523 6649.394 484.823 537.475
2456774.233568012 6656.102 484.765 537.449
2456774.253999701 6663.003 484.832 537.406
2456774.27443129 6675.724 484.788 537.342
2456774.294862878 6661.92 484.771 537.324
2456774.315294467 6671.592 484.724 537.296
2456774.335726056 6666.871 484.666 537.269
2456774.356157745 6671.97 484.633 537.242
2456774.376589234 6676.531 484.523 537.29
2456774.397020823 6645.532 484.485 537.271
2456774.417452512 6653.66 484.432 537.253
2456774.437884001 6650.724 484.373 537.199
2456774.45831559 6639.408 484.324 537.178
2456774.478747279 6660.436 484.279 537.158
2456774.499178768 6654.374 484.254 537.13
2456774.519610457 6670.439 484.222 537.095
2456774.540042046 6692.897 484.157 537.054
2456774.560473535 6717.727 484.101 537.024
2456774.580905225 6726.701 484.065 536.999
2456774.601336814 6633.624 484.403 537.232
2456774.621768303 6647.685 484.407 537.23
2456774.642199992 6648.909 484.35 537.188
2456774.662631582 6661.223 484.292 537.162
2456774.683063171 6669.134 484.246 537.122
2456774.70349476 6680.744 484.193 537.092
2456774.72392635 6694.263 484.152 537.053
2456774.744357839 6719.729 484.086 537.02
2456774.764789529 6732.915 484.024 536.971
2456774.785221118 6731.803 483.989 536.945
2456774.805652708 6738.032 483.938 536.921
2456774.826084297 6716.539 483.881 536.886
2456774.846515887 6577.755 484.459 537.244
2456774.866947576 6676.192 484.495 537.282
2456774.887379066 6666.097 484.425 537.244
2456774.907810656 6670.157 484.372 537.21
2456774.928242345 6661.842 484.312 537.165
2456774.948673835 6665.767 484.224 537.111
2456774.969105425 6705.893 484.18 537.077
2456774.989537115 6721.765 484.128 537.037
2456775.009968604 6740.355 484.075 537.003
2456775.030400294 6752.77 483.995 536.958
2456775.050831884 6741.406 483.932 536.92
2456775.071263374 6721.584 483.882 536.88
2456775.091695064 6620.706 484.412 537.235
2456775.112126654 6680.143 484.423 537.23
2456775.132558144 6676.857 484.346 537.187
2456775.152989834 6682.465 484.271 537.148
2456775.173421424 6686.106 484.212 537.097
2456775.193853015 6719.245 484.145 537.047
2456775.214284604 6732.442 484.05 536.992
2456775.234716195 6755.721 483.989 536.948
2456775.255147885 6734.619 483.926 536.913
2456775.275579375 6723.122 483.866 536.873
2456775.296010965 6714.56 483.785 536.829
2456775.316442656 6701.459 483.733 536.786
2456775.357305737 6664.312 484.449 537.226
2456775.377737427 6683.729 484.458 537.246
2456775.398168918 6684.54 484.417 537.24
2456775.418600508 6686.196 484.397 537.227
2456775.439032199 6680.852 484.371 537.208
2456775.459463689 6680.787 484.35 537.189
2456775.47989528 6682.461 484.303 537.164
2456775.500326971 6700.564 484.258 537.141
2456775.520758461 6694.988 484.234 537.13
2456775.541190152 6713.46 484.201 537.099
2456775.561621743 6721.263 484.16 537.053
2456775.582053234 6641.319 484.646 537.368
2456775.602484925 6705.094 484.77 537.308
2456775.622916515 6698.013 484.738 537.295
2456775.643348007 6709.956 484.667 537.266
2456775.663779697 6692.862 484.631 537.243
2456775.684211289 6710.679 484.51 537.299
2456775.70464288 6701.602 484.509 537.298
2456775.725074471 6708.798 484.476 537.237
